"name","fgapg","fgpct","fgpg","ftapg","ftpct","games","height","pfpg","ptspg","sospg","trbpg"
"Cassius Stanley",9.3,0.474,4.4,3.6,0.733,29,6.6,2.2,12.6,8,4.9
"Cassius Winston",10.1,0.461,4.7,3.5,0.845,139,6.1,2,14.2,10.17,2.7
"Cazzie Russell",20.8,0.505,10.5,7.3,0.828,80,6.5,2.1,27.1,6.99,8.5
"Cedric Ball",6.7,0.569,3.8,4.3,0.599,88,6.8,2.9,10.2,1.22,7.4
"Cedric Bozeman",5.9,0.435,2.6,1.8,0.584,106,6.6,1.9,6.6,8.9,3.2
"Cedric Ceballos",18.2,0.463,8.4,6.7,0.671,58,6.6,2.5,22.1,3.93,10.7
"Cedric Henderson",11,0.544,6,5.2,0.683,28,6.8,3,15.5,7.16,7.1
"Cedric Henderson",12,0.45,5.4,3.5,0.629,123,6.7,2.6,13.8,6.19,5.2
"Cedric Hunter",7.2,0.535,3.9,3.4,0.521,108,6.1,2.4,9.5,7.57,3.9
"Cedric Jackson",7.5,0.391,2.9,3.5,0.636,125,6.2,2.8,8.8,4.22,4.5
"Cedric Lewis",4.4,0.476,2.1,2.7,0.545,95,6.1,2,5.6,8.11,4.5
"Cedric Maxwell",10.2,0.586,6,5.7,0.753,112,6.8,2.9,16.3,-4.08,10
"Cedric Simmons",4.8,0.565,2.7,3.5,0.652,63,6.9,2.5,7.7,7.4,4.1
"Cedrick Hordges",9.8,0.527,5.2,3.8,0.638,105,6.8,2.9,12.8,2.78,6.7
"Chad Gallagher",11.9,0.551,6.5,3.9,0.72,124,6.1,3.2,16,3,7.2
"Chad Kinch",15.5,0.488,7.6,3.8,0.779,112,6.4,2.3,18,-1.31,3.7
"Chandler Hutchison",8.9,0.476,4.3,4.2,0.687,123,6.7,2.2,12,2.57,5.5
"Chandler Parsons",7.8,0.477,3.7,2.8,0.611,142,6.9,2,10.2,5.9,6
"Channing Frye",9.5,0.562,5.3,3.7,0.759,133,6.1,2.8,13.5,9.02,7.3
"Charles Barkley",8.9,0.626,5.6,4.5,0.652,84,6.6,3.5,14.1,7.87,9.6
"Charles Bassey",10.2,0.596,6.1,4.3,0.768,72,6.1,2.5,15.9,0.81,10.5
"Charles Beasley",12.3,0.488,6,4.1,0.839,78,6.5,2.2,15.4,-0.88,4.5
"Charles Bradley",12,0.533,6.4,6.8,0.632,102,6.5,3.1,17.1,3.45,5
"Charles Claxton",7.9,0.542,4.3,4.8,0.493,116,7.1,2.9,11,8.03,7.2
"Charles Cooke",9.5,0.434,4.1,4.6,0.702,123,6.5,1.8,12.8,1.14,4.7
"Charles Davis",12.6,0.514,6.5,3.9,0.754,105,6.7,2.7,16,6.22,7.1
"Charles Dudley",9.2,0.445,4.1,5,0.733,51,6.2,2.4,11.8,5.06,3.6
"Charles Jenkins",14.5,0.456,6.6,6.2,0.811,128,6.3,2.5,19.6,-1.45,4.3
"Charles Jones",5.7,0.558,3.2,4,0.604,129,6.8,2.2,8.7,6.9,6.3
"Charles Jones",19.7,0.429,8.4,4,0.64,108,6.3,NULL,22.5,1.1,4.7
"Charles O'Bannon",10.3,0.538,5.5,3.7,0.751,124,6.5,2.4,14.4,8.6,6.4
