"name","fgapg","fgpct","fgpg","ftapg","ftpct","games","height","pfpg","ptspg","sospg","trbpg"
"John Schweitz",12.6,0.525,6.6,3.2,0.806,109,6.6,2.6,15.8,-1.15,4.4
"John Shasky",7.1,0.53,3.8,3.2,0.655,112,6.1,2.2,9.6,8.22,5.3
"John Shumate",15,0.609,9.1,6.4,0.688,59,6.9,2.2,22.6,6.06,11.6
"John Starks",10.3,0.497,5.1,4.5,0.838,30,6.3,3.3,15.4,7.83,4.7
"John Stockton",8.6,0.559,4.8,4.1,0.719,107,6.1,2.4,12.5,-0.07,2.2
"John Stroeder",7.5,0.507,3.8,3,0.688,98,6.1,2.7,9.7,-2.56,5.9
"John Stroud",15.4,0.527,8.1,6.3,0.777,110,6.7,2.9,21.2,6.47,7.5
"John Thomas",5.7,0.496,2.8,2.8,0.536,124,6.9,2.4,7.1,8.13,5.1
"John Thompson",13.9,0.531,7.4,6.9,0.645,79,6.1,3.1,19.2,-2.31,13.4
"John Tresvant",10.4,0.469,4.9,4.3,0.669,82,6.6,3.5,12.6,-0.77,11.2
"John Turner",4.9,0.468,2.3,3.6,0.552,32,6.8,2,6.6,10.37,6.2
"John Wall",11.8,0.461,5.5,6.3,0.754,37,6.4,1.9,16.6,6.82,4.3
"John Wallace",11.6,0.533,6.2,5.4,0.738,127,6.8,2.7,16.7,9.07,8.4
"John Warren",11.8,0.511,6,4.3,0.808,84,1.0,1.9,15.5,2.15,7.1
"John Williams",12.8,0.511,6.5,3.6,0.771,66,6.8,3,15.8,9.35,7.6
"John Williamson",22.7,0.489,11.1,6.4,0.765,43,6.2,3,27.2,0.79,6.3
"Johnathan Motley",9,0.519,4.7,3.9,0.654,102,6.9,3,12,10.32,6.4
"Johnathan Williams",7.6,0.511,3.9,3.9,0.572,143,6.9,2.5,10.3,5.71,7.1
"Johnny Arthurs",17.2,0.483,8.3,5.4,0.689,74,6.4,2.7,20.3,-0.01,5.9
"Johnny Davis",16.5,0.454,7.5,5.6,0.763,81,6.2,2.8,19.3,4.12,3.5
"Johnny Dawkins",15.2,0.508,7.7,4.6,0.79,133,6.2,2,19.2,7.55,4
"Johnny High",14.8,0.446,6.6,5.2,0.677,54,6.3,3.6,16.7,2.17,4.8
"Johnny Macknowski",NULL,NULL,4.3,3.7,0.667,22,6.1,2.1,11,NULL,NULL
"Johnny Moore",11.9,0.455,5.4,3.2,0.733,112,6.2,3.1,13.2,1.73,4
"Johnny Newman",14.4,0.532,7.6,5.3,0.8,122,6.7,2.9,19.5,0.63,5.5
"Johnny O'Bryant",10.5,0.467,4.9,4.6,0.619,91,6.9,2.8,12.7,5.38,7.7
"Johnny Rogers",11.8,0.538,6.4,4.2,0.834,114,6.1,2.9,16.3,2.36,6.2
"Johnny Taylor",12.8,0.497,6.4,5,0.692,62,6.9,3,17.3,-5.61,7.2
"Jon Barry",12.1,0.421,5.1,2.9,0.717,94,6.4,2,14.4,9.05,3.6
"Jon Brockman",10.3,0.534,5.5,4.6,0.612,131,6.7,2.8,13.8,7.16,9.8
"Jon Koncak",10.4,0.559,5.8,4.5,0.649,123,7.1,3.3,14.5,3.79,9.5
"Jon Leuer",8.7,0.482,4.2,2.7,0.723,123,6.1,1.6,11.2,8.06,4.5
"Jon McGlocklin",11.3,0.485,5.5,2.1,0.796,69,6.5,2.2,12.7,6.79,4.5
"Jon Sundvold",9.9,0.493,4.9,3.1,0.848,128,6.2,1.8,12.5,5.44,2
"Jonah Bolden",4,0.415,1.6,1.5,0.733,31,6.1,2.1,4.6,9.69,4.8
"Jonathan Gibson",9.3,0.436,4,2.2,0.758,131,6.2,1.9,11.8,0.16,1.9
"Jonathan Isaac",8,0.508,4.1,3.7,0.78,32,6.1,2.2,12,8.87,7.8
"Jonathan Kerner",5.4,0.454,2.5,2.6,0.678,78,6.1,2,6.8,3.35,4.2
"Jonathon Simmons",10,0.512,5.1,4.7,0.716,30,6.6,2.5,14.7,0.21,5
"Jonny Flynn",12.2,0.46,5.6,5.1,0.782,73,6.1,1.5,16.6,8.72,2.7
"Jontay Porter",7.2,0.437,3.2,3.2,0.75,33,6.1,2.9,9.9,9.19,6.8
"Jordan Adams",11.6,0.467,5.4,5,0.839,69,6.5,2.1,16.4,7.72,4.6
"Jordan Bell",5.4,0.61,3.3,1.8,0.63,105,6.7,2.3,7.8,8.23,6.8
"Jordan Bone",8.4,0.424,3.6,2,0.817,95,6.3,1.2,9.7,10.15,2.4
"Jordan Clarkson",11.6,0.44,5.1,5.2,0.805,93,6.5,2.3,15.4,4.32,3.3
"Jordan Crawford",12.4,0.455,5.6,3.3,0.765,65,6.4,1.6,15.5,6.01,4.1
"Jordan Farmar",10.8,0.41,4.4,4,0.76,66,6.2,2.1,13.3,7.68,3
"Jordan Goodwin",11.5,0.423,4.9,4.1,0.58,114,6.3,2.6,12.8,2.6,8.8
"Jordan Hamilton",12.2,0.43,5.2,2.7,0.71,70,6.7,1.5,14.5,7.67,5.7
"Jordan Hill",8.8,0.578,5.1,3.6,0.636,97,6.1,2.7,12.5,9.93,7.9
"Jordan Loyd",5.4,0.367,2,2.2,0.661,28,6.3,2.2,5.9,-4.6,3.5
"Jordan McLaughlin",10.2,0.439,4.5,3.4,0.738,128,6.1,1,12.9,6.62,3.5
"Jordan McRae",10.4,0.417,4.4,4,0.769,114,6.5,1.9,13.3,7.3,3.3
"Jordan Mickey",10.8,0.518,5.6,4.3,0.669,65,6.8,2.4,14,6.12,8.8
"Jordan Nwora",10.6,0.445,4.7,3.3,0.785,93,6.7,1.9,13.9,9.22,6
"Jordan Poole",7.3,0.434,3.1,1.9,0.831,75,6.5,1.5,9.4,9.98,2.2
"Jordan Schakel",6.2,0.443,2.7,1.4,0.87,121,6.6,2.2,8.5,3.33,3.3
"Jordan Sibert",7,0.43,3,2.6,0.738,122,6.4,1.5,9.5,6.71,2.1
"Jordan Williams",9.7,0.528,5.1,5.3,0.559,66,6.1,2.6,13.2,6.85,10.2
"Jorge Gutierrez",7.4,0.43,3.2,3.4,0.737,129,6.3,2.4,9.6,7.29,3.8
"Jose Alvarado",10.4,0.444,4.6,3.3,0.79,106,6.1,2.5,13.5,8.18,3.6
"Jose Ortiz",13.3,0.557,7.4,7.1,0.703,52,6.1,2.7,19.8,4.43,8.7
"Jose Slaughter",14.6,0.496,7.3,4.6,0.675,110,6.5,2.9,17.6,0.55,5.3
"Joseph Forte",15.3,0.454,6.9,4,0.81,69,6.4,2,18.7,11.79,5.8
"Josh Akognon",12.3,0.408,5,2.7,0.871,119,5.1,1.8,15.2,2.71,2.6
"Josh Boone",6.4,0.578,3.7,3.4,0.559,103,6.1,1.9,9.3,7.32,7
"Josh Childress",10.2,0.438,4.5,2.8,0.755,86,6.8,2.1,12.3,7.25,6.8
"Josh Christopher",11.7,0.432,5.1,3.7,0.8,15,6.5,3.2,14.3,10.24,4.7
"Josh Davis",9.5,0.497,4.7,3.3,0.642,119,6.8,2.6,12.1,2.85,8
"Josh Grant",11.2,0.494,5.5,3.6,0.827,131,6.9,2.6,15.3,4.01,8.1
"Josh Gray",7.1,0.392,2.8,2,0.651,94,6.1,2,7.3,5.65,2.2
"Josh Green",9.6,0.424,4.1,3.6,0.78,30,6.6,2.4,12,8.4,4.6
"Josh Harrellson",3.6,0.549,2,1,0.649,94,6.1,1.4,4.7,6.85,4.7
"Josh Hart",9.1,0.511,4.6,3.4,0.72,146,6.5,2.2,13.2,8.51,5.6
"Josh Howard",10.5,0.483,5.1,4,0.708,127,6.7,2.9,13.9,9.17,6.6
"Josh Huestis",6.4,0.451,2.9,2.1,0.61,135,6.7,1.7,7.5,6.38,6.2
"Josh Jackson",12.3,0.513,6.3,4.9,0.566,35,6.8,3,16.3,12.23,7.4
"Josh McRoberts",7.5,0.54,4,3.8,0.664,69,6.1,2.8,10.8,9.63,6.5
"Josh Okogie",12.3,0.437,5.4,6.6,0.777,61,6.4,2.7,16.9,7.84,5.8
"Josh Powell",6.6,0.553,3.7,3,0.729,65,6.9,2.5,9.7,7.87,4.5
"Josh Reaves",7.7,0.438,3.4,1.9,0.702,121,6.5,2.9,8.9,8.79,4.5
"Josh Richardson",7.4,0.456,3.4,2.3,0.758,136,6.6,2.2,9.2,7.15,3.2
"Josh Selby",7.4,0.373,2.8,1.4,0.757,26,6.2,1.7,7.9,7.62,2.2
"Joshua Primo",6.5,0.431,2.8,1.5,0.75,30,6.6,1.7,8.1,10.01,3.4
"Jrue Holiday",7.1,0.45,3.2,1.8,0.726,35,6.3,2.1,8.5,7.19,3.8
"JT Thor",7.1,0.44,3.1,3.1,0.741,27,6.1,2,9.4,9.28,5
"Juan Anderson",3.4,0.421,1.4,1.2,0.593,121,6.6,1.7,3.8,7.93,3.3
"Juan Dixon",12.1,0.468,5.7,3.6,0.85,141,6.3,2,16.1,9.73,4.2
"Juaquin Hawkins",5.5,0.472,2.6,3,0.519,88,6.7,2.8,6.9,1.56,3.8
"Jud Buechler",6.1,0.547,3.4,2.3,0.743,131,6.6,1.7,8.7,8.6,4.9
"Julian Hammond",7.1,0.627,4.4,5.3,0.622,52,1.0,2.1,12.2,4.22,7.6
"Julian Wright",8,0.555,4.4,2.5,0.591,71,6.8,2.1,10.4,7.23,6.3
"Julius Erving",20.7,0.487,10.1,8.4,0.739,52,6.6,2.5,26.3,-9.71,20.2
"Julius Hodge",10.9,0.473,5.2,6.1,0.76,129,6.7,2.5,15.8,8.87,6
"Julius Nwosu",9.6,0.562,5.4,5.8,0.605,87,6.1,3.3,14.3,-10.73,7.4
"Julius Randle",9.8,0.501,4.9,7.2,0.706,40,6.9,2.3,15,9.9,10.4
"Julyan Stone",4.3,0.425,1.8,2.9,0.617,138,6.7,2.3,5.8,2.3,5.5
"Jumaine Jones",13.2,0.449,5.9,4.4,0.751,65,6.8,2.3,16.6,8.11,9
"Junior Bridgeman",11.8,0.517,6.1,4.3,0.77,87,6.5,2.7,15.5,4.15,7.6
"Junior Burrough",13.1,0.449,5.9,5.1,0.673,129,6.8,2.6,15.3,10.15,7.2
"Justin Anderson",6.8,0.43,2.9,2.7,0.752,98,6.6,1.4,8.9,6.64,3.5
"Justin Champagnie",12.2,0.446,5.4,3.8,0.745,53,6.6,2.1,14.7,7.03,8.5
"Justin Dentmon",8,0.428,3.4,3.6,0.789,133,5.1,2.1,10.7,7.16,3.2
"Justin Hamilton",5.6,0.535,3,2.5,0.741,96,7.1,2,7.9,6.52,5.2
"Justin Harper",8.1,0.483,3.9,2.1,0.711,137,6.1,2.2,10.6,2.46,4.8
"Justin Holiday",4.6,0.443,2,1,0.736,123,6.6,1.6,5.3,7.86,3.6
"Justin Jackson",11.4,0.459,5.2,2.7,0.713,118,6.8,1.5,13.8,11.4,4.1
"Justin James",11.9,0.442,5.3,5.4,0.731,131,6.7,2.2,15.7,1.62,5.4
"Justin Patton",8.5,0.676,5.7,2.5,0.517,35,6.1,2.7,12.9,8.95,6.2
"Justin Reed",11.7,0.476,5.6,4.4,0.707,122,6.8,3.2,14.6,7.16,6.3
"Justin Robinson",7.6,0.445,3.4,4,0.773,125,6.2,2.1,11.1,7.6,2.7
"Justin Williams",7,0.538,3.8,4.4,0.574,58,6.1,3.2,10.1,3.87,8.7
"Justin Wright-Foreman",13.6,0.483,6.6,4.1,0.811,125,6.2,1.6,18.6,-1.81,2.9
"Justise Winslow",9.1,0.486,4.4,4,0.641,39,6.6,2.8,12.6,9.87,6.5
"Juwan Howard",12.1,0.51,6.2,4.2,0.688,100,6.9,3.1,15.3,12.06,7.5
"Juwan Morgan",7.2,0.562,4,3.3,0.671,128,6.8,2.4,10.7,8.35,5.9
"K.C. Jones",7.8,0.364,2.9,4.9,0.639,102,6.1,2.4,8.8,1.47,4.7
"K.J. McDaniels",8.6,0.45,3.9,3.2,0.767,94,6.6,1.8,11,4.6,4.8
"Kadeem Allen",6.6,0.459,3,3.1,0.725,68,6.3,2.4,9.1,7.43,3.6
"Kai Jones",4.1,0.553,2.3,1.8,0.677,53,6.1,2.3,6.2,9.48,4
"Kalin Lucas",11.2,0.425,4.8,4.5,0.796,141,6.1,1.7,14.2,9.22,1.9
"Kaniel Dickens",6.9,0.483,3.3,3.8,0.63,55,6.8,2.2,9.3,-0.17,5.7
"Kannard Johnson",10.3,0.536,5.5,3.7,0.747,126,6.9,2.3,13.8,3.44,6.7
"Kareem Abdul-Jabbar",16.8,0.639,10.7,7.9,0.628,88,7.2,2.2,26.4,5.22,15.5
"Kareem Rush",14.7,0.445,6.5,4,0.777,84,6.6,2.3,18.9,8.07,5.4
"Karl-Anthony Towns",6.6,0.566,3.7,3.4,0.813,39,6.1,2.9,10.3,8.67,6.7
"Karl Malone",12.5,0.566,7.1,7.1,0.631,92,6.9,3.6,18.7,-1.13,9.3
"Kasib Powell",11.9,0.492,5.9,5.1,0.629,67,6.7,2.3,15.1,7.76,6.1
"Kawhi Leonard",12,0.449,5.4,3.7,0.744,70,6.7,2.5,14.1,5.29,10.2
"Kay Felder",12.9,0.426,5.5,6.2,0.822,101,5.9,2.8,17.5,0.81,4.3
"Kebu Stewart",12.1,0.49,6,9.4,0.638,43,6.8,3.1,18,1.52,10.8
"Keita Bates-Diop",9.1,0.472,4.3,2.5,0.776,109,6.7,1.4,11.7,7.69,5.7
"Keith Appling",8,0.431,3.5,3.7,0.748,142,6.1,2.4,10.6,10.35,3
"Keith Askins",5.2,0.446,2.3,1.7,0.658,128,6.7,2.4,6.7,6.23,4.3
"Keith Benson",9.1,0.558,5.1,5.7,0.679,135,6.1,2.8,14.1,-1.32,8.2
"Keith Bogans",11.4,0.437,5,3.5,0.688,135,6.5,2,14.2,11.27,4.1
"Keith Booth",10.2,0.456,4.7,6.5,0.699,126,6.6,3.2,14.1,9.23,7.3
"Keith Closs",8.9,0.533,4.7,3.9,0.601,54,7.3,3.1,11.9,-9.71,8.4
"Keith Edmonson",9.8,0.529,5.2,3.6,0.756,131,6.5,2,13.1,8.36,3.4
"Keith Erickson",9.3,0.41,3.8,2.9,0.669,87,6.5,3.1,9.6,6.02,8
"Keith Herron",16.3,0.48,7.8,3.7,0.768,117,6.6,2.8,18.5,2.15,4.8
"Keith Jennings",9.1,0.549,5,4.5,0.861,127,5.7,2.3,15.7,-2.71,3.9
"Keith Langford",10,0.495,4.9,4.2,0.649,136,6.4,2.1,13.3,10.04,4.3
"Keith Lee",14,0.518,7.3,5.5,0.782,128,6.1,3.3,18.8,4.83,10.4
"Keith McCord",7.6,0.462,3.5,2.3,0.771,105,6.7,2,8.7,4.81,3.5
"Keith McLeod",12.1,0.426,5.2,6.3,0.791,111,6.2,2.3,17.1,1.52,3.2
"Keith Owens",2.1,0.556,1.2,1.1,0.721,97,6.7,1.4,3.2,8.61,3
"Keith Smart",9,0.518,4.7,2.9,0.856,63,6.1,2.7,12.1,9.38,3
"Keith Smith",15.3,0.485,7.4,4.4,0.722,110,6.3,2.5,18,-0.92,2.2
"Keith Tower",4,0.434,1.8,1.5,0.573,117,6.1,2.7,4.4,8.55,4.6
"Keith Van Horn",14,0.522,7.3,5.3,0.851,122,6.1,2.1,20.8,4.82,8.8
"Kelan Martin",12,0.437,5.2,3.7,0.786,136,6.6,2.1,15.1,9.24,5.2
"Keldon Johnson",10.1,0.461,4.6,4.2,0.703,37,6.6,2.2,13.5,10.29,5.9
"Kelenna Azubuike",7.5,0.485,3.6,2.3,0.752,97,6.5,1.6,10,8.66,3.7
"Keljin Blevins",6.8,0.399,2.7,2.7,0.645,117,6.6,1.9,7.6,-3.26,4.4
"Kelly McCarty",10.6,0.421,4.5,2.9,0.691,117,6.7,NULL,11.9,3.73,7.3
"Kelly Olynyk",5.6,0.594,3.3,2.8,0.709,101,7.1,2,8.9,4,4.6
"Kelly Oubre",6.9,0.444,3.1,3.1,0.718,36,6.7,2,9.3,12.13,5
"Kelly Tripucka",10.3,0.548,5.6,5.2,0.798,112,6.6,2.3,15.3,4.19,5.4
"Kelvin Cato",7.9,0.434,3.4,3.8,0.584,79,6.1,2.9,9.1,4.07,7.4
"Kelvin Ransey",15.1,0.49,7.4,3.2,0.78,112,6.1,2.9,17.3,7.93,3.7
"Kelvin Upshaw",11.5,0.504,5.8,3.8,0.797,84,6.2,2.6,14.6,2.74,3
"Kemba Walker",12.2,0.428,5.2,5.8,0.783,111,6.1,1.5,16.1,9.39,4.4
"Ken Austin",8.6,0.486,4.2,3.4,0.59,91,6.9,3.7,10.3,3.46,6.6
"Ken Bannister",11.3,0.503,5.7,4.3,0.59,27,6.9,3.8,13.9,3.21,6.6
"Ken Durrett",18.9,0.484,9.2,7.2,0.741,71,6.7,2.3,23.6,-0.83,12
"Ken Johnson",6.1,0.54,3.3,2.8,0.63,127,6.1,3,8.3,8.24,5.8
"Ken Johnson",7.5,0.532,4,3,0.533,76,6.8,2.8,9.6,6.26,8.5
"Ken Norman",10,0.609,6.1,4.1,0.736,92,6.8,1.8,15.1,8.74,6.9
"Ken Sears",12,0.432,5.2,5.8,0.769,103,6.9,2.6,14.9,2.7,14.3
"Kendall Gill",8.9,0.501,4.5,3.2,0.755,117,6.5,1.7,12,10.2,2.8
"Kendall Marshall",5.6,0.446,2.5,2.2,0.693,73,6.4,1.5,7.2,8.61,2.3
"Kendrick Nunn",11.7,0.428,5,2.3,0.821,126,6.3,1.8,14.2,4.62,3.6
"Kennard Winchester",10.1,0.48,4.8,2.5,0.721,78,6.5,2.3,11.8,-1.52,4.8
"Kennedy McIntosh",19.4,0.521,10.1,9,0.574,33,6.7,2.8,25.4,NULL,13.6
"Kenneth Faried",10.1,0.569,5.8,5.6,0.583,136,6.8,3.1,14.8,-4.03,12.3
"Kenny Anderson",18.2,0.473,8.6,5.1,0.787,65,6.1,2.1,23,10.57,5.6
"Kenny Battle",11.6,0.569,6.6,6.6,0.686,123,6.6,2.7,17.8,5.7,5.7
"Kenny Carr",16,0.516,8.3,6,0.681,86,6.7,3.4,20.6,7.17,9.2
"Kenny Dennard",7.5,0.513,3.9,2.2,0.588,117,6.8,3.3,9,8.06,5.7
"Kenny Fields",11.6,0.544,6.3,3.6,0.673,109,6.5,2.4,15,5.37,6.1
"Kenny Gattison",9.4,0.552,5.2,4.5,0.65,122,6.8,2.6,13.3,4.07,7.7
"Kenny Green",11.5,0.543,6.2,3.7,0.662,84,6.6,2.6,14.9,7.32,6.6
"Kenny Higgs",14.8,0.439,6.5,6.4,0.764,106,6.1,3.5,17.9,5.91,2.9
"Kenny Natt",7.8,0.486,3.8,2.1,0.774,109,6.3,1.9,9.2,-5.86,2.4
"Kenny Payne",7.4,0.469,3.5,1,0.782,128,6.8,1.8,8.5,9.27,3.7
"Kenny Satterfield",9.8,0.403,3.9,3.9,0.78,68,6.2,2.4,11.9,8.17,4.1
"Kenny Smith",9.7,0.512,4.9,2.8,0.823,127,6.3,1.5,12.9,8.49,2.2
"Kenny Thomas",10.1,0.537,5.4,5.9,0.74,123,6.7,3.1,15.7,3.23,8.4
"Kenny Walker",10.1,0.571,5.8,5.6,0.75,132,6.8,2.5,15.8,9.96,7.1
"Kenrich Williams",8.4,0.484,4.1,3,0.625,102,6.7,2.5,11,8.65,8.6
"Kent Bazemore",8.3,0.447,3.7,3.5,0.581,140,6.5,2.2,10.1,0.42,4.6
"Kent Benson",11.8,0.536,6.3,3.6,0.715,114,6.1,2.9,15.3,7.49,9
"Kentavious Caldwell-Pope",12.7,0.415,5.3,3.9,0.752,64,6.5,2.2,15.8,7.02,6.1
"Kenton Edelin",2.1,0.627,1.3,1.4,0.471,97,6.8,2.9,3.3,8.42,4.6
"Kenyon Martin",7.5,0.586,4.4,3.7,0.581,116,6.9,2.9,11,6.65,7.5
"Keon Clark",10.4,0.554,5.8,4.7,0.638,39,6.1,3.4,14.8,4.38,8.2
"Keon Johnson",9.1,0.449,4.1,3.7,0.703,27,6.5,2.4,11.3,8.46,3.5
"Kermit Washington",15.8,0.501,7.9,6.3,0.682,73,6.8,3,20.1,-2.8,20.2
"Kerry Kittles",14.1,0.478,6.7,3.7,0.719,122,6.5,1.5,18.4,9.47,5.9
"Kessler Edwards",9.8,0.469,4.6,3,0.789,92,6.8,2.4,13.3,3.08,6.5
"Kevin Brooks",14.6,0.522,7.6,4.2,0.774,116,6.6,1.9,19.8,-1.72,6.2
"Kevin Burleson",6,0.371,2.2,1.9,0.751,123,6.3,2.7,7,8.21,2.4
"Kevin Duckworth",9.2,0.577,5.3,3.8,0.705,118,7.1,3.1,13.3,-4.11,7.3
"Kevin Durant",18.5,0.473,8.7,7.3,0.816,35,6.9,2,25.8,6.12,11.1
"Kevin Edwards",12.4,0.534,6.6,3,0.793,61,6.3,1.9,16.3,2.96,5.1
"Kevin Gamble",5.8,0.529,3,1.7,0.697,65,6.5,1.7,7.6,8.63,3.2
"Kevin Grevey",17.7,0.517,9.2,4,0.778,84,6.5,3.3,21.4,6.25,6.5
"Kevin Henderson",9.9,0.51,5,3.7,0.756,73,6.4,2.8,12.9,0.76,2
"Kevin Hervey",12.5,0.44,5.5,3.6,0.768,115,6.7,1.9,15.5,-2.12,8
"Kevin Huerter",9,0.466,4.2,2,0.748,65,6.7,2.1,12,8.11,5
"Kevin Johnson",10.7,0.477,5.1,4.5,0.757,118,6.1,2.2,14,3.96,3.6
"Kevin Jones",10.6,0.494,5.2,2.7,0.677,139,6.8,1.6,13.1,9.29,7.5
"Kevin Knox",11.9,0.445,5.3,4.4,0.774,37,6.9,2.2,15.6,10.73,5.4
"Kevin Kunnert",12.9,0.519,6.7,3.7,0.663,72,7.1,3.9,15.9,5.41,12.7
"Kevin Loughery",13.2,0.437,5.8,3.5,0.749,70,6.3,2.2,14.1,0.31,6.2
"Kevin Love",10.4,0.559,5.8,6.6,0.767,39,6.1,1.9,17.5,7.71,10.6
"Kevin Lynch",9.3,0.469,4.4,2.1,0.784,119,6.5,2.4,11.4,8.88,3.1
"Kevin Martin",15.5,0.462,7.2,8,0.841,79,6.7,2.1,23.3,-3.74,4.5
"Kevin McHale",11.5,0.553,6.4,3.2,0.773,112,6.1,NULL,15.2,8.21,8.5
"Kevin McKenna",11.1,0.476,5.3,3.5,0.781,113,6.5,3.6,13.3,3.23,3.8
"Kevin Murphy",12.5,0.443,5.5,4.4,0.734,128,6.7,2.1,15.8,-4.01,4.2
"Kevin Ollie",4.8,0.453,2.2,2.8,0.756,124,6.4,1.5,6.7,7.22,2
"Kevin Pangos",9.2,0.433,4,3.1,0.843,142,6.2,1.9,12.8,4.48,2.8
"Kevin Porter",19.9,0.456,9.1,6.4,0.744,77,6.1,3.6,22.9,-1.26,2.5
"Kevin Porter Jr",7.5,0.471,3.5,2.2,0.522,21,6.6,2.1,9.5,4.96,4
"Kevin Pritchard",8.9,0.487,4.3,3,0.774,139,6.3,2.6,12.2,8.84,2.4
"Kevin Restani",15.4,0.48,7.4,2.3,0.717,81,6.9,2.5,16.4,1.15,10.9
"Kevin Salvadori",3.6,0.522,1.9,1.4,0.697,137,7.1,1.7,4.8,10.41,3.6
"Kevin Stacom",12.8,0.514,6.6,2.9,0.807,89,6.3,1.8,15.5,0.26,4
"Kevin Thompson",7.6,0.588,4.5,2.8,0.563,118,6.1,2.3,10.6,10.02,6.9
"Kevin Williams",4.8,0.533,2.5,2.4,0.77,102,6.2,2.4,7,3.72,1.5
"Kevin Willis",8.4,0.53,4.5,2,0.579,79,7.1,3,10.1,5.87,7.1
"Kevinn Pinkney",6.1,0.515,3.1,2.9,0.708,110,6.1,2.2,8.3,3.19,5.7
"Kevon Looney",8.9,0.47,4.2,4.1,0.626,36,6.9,2.9,11.6,8.27,9.2
"Keyon Dooling",9.2,0.411,3.8,4.7,0.733,59,6.3,1.7,12.1,6.05,2.4
"Kezie Okpala",10.7,0.439,4.7,5.4,0.674,52,6.9,2.8,13.8,6.14,4.8
"Khalid El-Amin",12.9,0.416,5.4,3.3,0.822,108,5.1,2.1,15.3,8.09,3
"Khalid Reeves",10.5,0.479,5,4.6,0.763,128,6.3,2.3,15,8.75,3.3
"Khem Birch",5.7,0.531,3,4.2,0.668,69,6.9,2.2,8.9,4.79,7.8
"Khris Middleton",9.1,0.431,3.9,3.1,0.768,87,6.7,2.1,11.3,7.42,4.6
"Khyri Thomas",8.2,0.511,4.2,2.1,0.719,102,6.3,1.8,11.2,7.83,4.6
"Kiki Vandeweghe",8.3,0.57,4.7,3.5,0.776,113,6.8,1.3,12.2,5.29,5
"Killian Tillie",6.5,0.548,3.6,1.8,0.75,108,6.1,2.3,9.5,3.71,4.6
"Kim English",8.7,0.42,3.7,2.9,0.727,141,6.6,1.8,11.1,6.32,3
"Kim Hughes",12.1,0.474,5.7,3.7,0.578,72,6.1,3,13.6,5.72,11.2
"Kira Lewis",12.5,0.447,5.6,3.8,0.793,65,6.3,2.2,15.9,8.56,3.6
"Kirk Haston",12,0.473,5.7,4.2,0.717,96,6.9,2.7,14.6,10.88,7.8
"Kirk Hinrich",8.8,0.493,4.4,2.6,0.776,141,6.3,2.7,12.4,9.68,3.8
"Kirk Penney",9.1,0.434,4,2.4,0.75,127,6.5,1.5,11.4,10.08,3.8
"Kirk Snyder",13.3,0.426,5.7,6,0.677,84,6.6,2.4,16.7,3.25,6.4
"Kiwane Garris",12,0.411,4.9,6.4,0.83,116,6.2,2.2,16.8,8.27,3.3
"Klay Thompson",14.4,0.424,6.1,3.9,0.827,98,6.6,2.5,17.9,6.32,4.8
"Kobi Simmons",7.6,0.395,3,2.4,0.775,37,6.5,1.9,8.7,7.63,1.6
"Kosta Koufos",11.8,0.508,6,2.7,0.68,37,7.1,2.2,14.4,7.97,6.7
"Kostas Antetokounmpo",3.5,0.574,2,2.2,0.516,29,6.1,2.3,5.2,2.7,2.9
"Kris Dunn",9.9,0.45,4.5,4.5,0.693,95,6.3,2.9,12.8,8.09,5.1
"Kris Humphries",17.2,0.444,7.6,7.9,0.742,29,6.9,2.2,21.7,5.36,10.1
"Kris Joseph",7.8,0.449,3.5,3.9,0.702,140,6.7,1.6,10.5,8.37,4.5
"Kurk Lee",10.8,0.446,4.8,3.9,0.831,122,6.3,NULL,14.1,-1.06,3.2
"Kurt Nimphius",6.5,0.586,3.8,3,0.677,104,6.1,2.7,9.7,5.44,6
"Kurt Rambis",12.2,0.521,6.4,5,0.65,108,6.8,NULL,16,0.06,9.6
"Kurt Thomas",12.7,0.524,6.6,5.7,0.682,87,6.9,3.3,17.4,1.33,9
"Ky Bowman",13.6,0.433,5.9,3.9,0.762,98,6.1,2.6,16.9,7.68,6.4
"Kyle Alexander",3.1,0.587,1.8,1.5,0.638,135,6.1,2.1,4.6,9.58,4.9
"Kyle Anderson",9.4,0.452,4.3,4.3,0.736,71,6.9,1.9,12.2,7.72,8.7
"Kyle Collinsworth",9.2,0.477,4.4,4.9,0.642,140,6.6,2.2,12.2,4.71,7.5
"Kyle Guy",10.1,0.433,4.4,1.6,0.806,106,6.2,1.1,12.5,10.05,3
"Kyle Korver",9.3,0.472,4.4,2.7,0.891,128,6.7,2.3,14.1,1.76,5.2
"Kyle Kuzma",7.7,0.506,3.9,2.8,0.633,96,6.9,1.6,10.1,6.84,5.5
"Kyle Lowry",7.1,0.449,3.2,4,0.737,57,6.1,2.6,9.5,8.83,3.8
"Kyle Macy",10.7,0.514,5.5,3.8,0.883,124,6.3,2,14.4,7.56,2.6
"Kyle O'Quinn",8.6,0.553,4.7,3.8,0.685,129,6.1,2.9,12.5,-7.19,8.5
"Kyle Singler",12.7,0.433,5.5,4.3,0.773,148,6.8,2.6,16.2,8.97,6.9
"Kyle Weaver",7.2,0.464,3.3,3.6,0.716,121,6.6,2,9.6,6.88,4.7
"Kyle Wiltjer",9.6,0.487,4.7,2.3,0.824,147,6.1,1.5,13,5.76,4.6
