"player","class","pos","school","conf","drafted"
"Sterling Brown",4,"G","Southern Methodist","AAC",1
"Tony Carr",2,"G","Penn State","Big Ten",1
"Willie Cauley-Stein",3,"F","Kentucky","SEC",0
"Jack Cooley",4,"F","Notre Dame","Big East",0
"Jacob Evans",2,"G","Cincinnati","AAC",1
"Michael Frazier",2,"G","Florida","SEC",0
"Josh Hagins",4,"G","Little Rock","Sun Belt",0
"Jimmy Hall",4,"F","Kent State","MAC",0
"Jared Harper",3,"G","Auburn","SEC",0
"Rick Jackson",4,"F","Syracuse","Big East",0
"Michael Kidd-Gilchrist",1,"F","Kentucky","SEC",0
"David Lighty",4,"G","Ohio State","Big Ten",0
"Zach Lofton",4,"G","New Mexico State","WAC",0
"Yante Maten",4,"F","Georgia","SEC",0
"Garrison Mathews",4,"G","Lipscomb","A-Sun",0
"Ray McCallum",3,"G","Detroit Mercy","Horizon",0
"Mikh McKinney",4,"G","Sacramento State","Big Sky",0
"Shake Milton",2,"G","Southern Methodist","AAC",1
"Markieff Morris",3,"C","Kansas","Big 12",0
"Erik Murphy",4,"F","Florida","SEC",0
"Shamorie Ponds",3,"G","St. John's (NY)","Big East",0
"Juvonte Reddic",3,"F","Virginia Commonwealth","A-10",0
"Terry Rozier",2,"G","Louisville","ACC",0
"Ben Simmons",1,"F","Louisiana State","SEC",1
"Bogdan Bliznyuk",4,"G","Eastern Washington","Big Sky",0
"T.J. Bray",4,"G","Princeton","Ivy",0
"Marshon Brooks",4,"G","Providence","Big East",0
"Bradford Burgess",3,"G","Virginia Commonwealth","CAA",0
"Wendell Carter Jr.",1,"F","Duke","ACC",0
"Josh Davis",3,"F","Tulane","CUSA",0
"Damyean Dotson",4,"G","Houston","AAC",1
"Jackson Emery",4,"G","Brigham Young","MWC",0
"Rodney Glasgow",4,"G","Virginia Military Institute","Big South",0
"Devon Hall",4,"G","Virginia","ACC",1
"Rondae Hollis-Jefferson",2,"F","Arizona","Pac-12",0
"Terrence Jones",1,"F","Kentucky","SEC",0
"Scott Machado",4,"G","Iona","MAAC",0
"Caleb Martin",4,"F","Nevada","MWC",0
"Drew McDonald",4,"F","Northern Kentucky","Horizon",0
"E'Twaun Moore",4,"G","Purdue","Big Ten",0
"Lamar Patterson",4,"G","Pittsburgh","ACC",0
"Giddy Potts",3,"G","Middle Tennessee","CUSA",0
"Julius Randle",1,"F","Kentucky","SEC",0
"Travis Releford",4,"G","Kansas","Big 12",0
"Trevor Releford",3,"G","Alabama","SEC",0
"Andre Spight",4,"G","Northern Colorado","Big Sky",0
"Rashawn Thomas",4,"F","Texas A&M-Corpus Christi","Southland",0
"Dean Wade",3,"F","Kansas State","Big 12",0
"Ryan Watkins",4,"F","Boise State","MWC",0
"Kyle Weems",3,"F","Missouri State","MVC",0
"Jalan West",3,"G","Northwestern State","Southland",0
"Derrick White",4,"G","Colorado","Pac-12",1
"Kendall Williams",4,"G","New Mexico","MWC",0
"Andrew Andrews",4,"G","Washington","Pac-12",0
"DeAndre Bembry",3,"F","Saint Joseph's","A-10",0
"Ben Bentil",2,"F","Providence","Big East",1
"Jarrell Brantley",4,"F","College of Charleston","CAA",1
"Jabari Brown",3,"G","Missouri","SEC",0
"John Brown",3,"F","High Point","Big South",0
"Elijah Bryant",3,"G","Brigham Young","WCC",0
"Tyler Cavanaugh",3,"F","George Washington","A-10",0
"Langston Galloway",4,"G","Saint Joseph's","A-10",0
"Juan'ya Green",3,"G","Hofstra","CAA",0
"Tyler Hall",2,"G","Montana State","Big Sky",0
"Joe Harris",3,"G","Virginia","ACC",0
"Corey Hawkins",4,"G","UC-Davis","Big West",0
"Marshall Henderson",3,"G","Mississippi","SEC",0
"Jelani Hewitt",4,"G","Georgia Southern","Sun Belt",0
"Kris Jenkins",3,"F","Villanova","Big East",0
"Orlando Johnson",3,"G","UC-Santa Barbara","Big West",0
"Tyler Kalinoski",4,"G","Davidson","A-10",0
"Arsalan Kazemi",2,"F","Rice","CUSA",0
"Egor Koulechov",3,"G","Rice","CUSA",0
"Ben Lammers",3,"C","Georgia Tech","ACC",0
"TJ Leaf",1,"F","UCLA","Pac-12",0
"Zeke Marshall",4,"C","Akron","MAC",0
"Sheldon McClellan",4,"G","Miami (FL)","ACC",0
"Malik Monk",1,"G","Kentucky","SEC",1
"Dallas Moore",4,"G","North Florida","A-Sun",0
"Andrew Nicholson",4,"F","St. Bonaventure","A-10",0
"Dane Pineau",3,"F","Saint Mary's (CA)","WCC",0
"Colt Ryan",4,"G","Evansville","MVC",0
"Wesley Saunders",4,"G","Harvard","Ivy",0
"Dominique Sutton",4,"F","North Carolina Central","MEAC",0
"Zach Thomas",4,"F","Bucknell","Patriot",0
"Klay Thompson",3,"G","Washington State","Pac-10",0
"Travis Trice",4,"G","Michigan State","Big Ten",0
"Desmond Bane",3,"G","Texas Christian","Big 12",0
"Kyle Barone",4,"C","Idaho","WAC",0
"Bradley Beal",1,"G","Florida","SEC",0
"Anthony Bennett",1,"F","Nevada-Las Vegas","MWC",0
"Keith Benson",4,"C","Oakland","Summit",0
"Javon Bess",4,"G","Saint Louis","A-10",0
"Markel Brown",4,"G","Oklahoma State","Big 12",0
"Reggie Bullock",3,"G","North Carolina","ACC",0
"Kyle Collinsworth",4,"G","Brigham Young","WCC",0
"Jeremy Combs",4,"F","Texas Southern","SWAC",0
"Glenn Cosey",4,"G","Eastern Kentucky","OVC",0
"Aaron Craft",2,"G","Ohio State","Big Ten",0
"Seth Curry",4,"G","Duke","ACC",0
"J.J. Frazier",3,"G","Georgia","SEC",0
"Michael Gbinije",4,"F","Syracuse","ACC",1
"Javonte Green",4,"F","Radford","Big South",0
"Langston Hall",4,"G","Mercer","A-Sun",0
"Noah Hartsock",4,"F","Brigham Young","WCC",0
"Stephen Holt",4,"G","Saint Mary's (CA)","WCC",0
"Colton Iverson",4,"F","Colorado State","MWC",0
"Isaiah Johnson",4,"C","Akron","MAC",0
"Stanley Johnson",1,"F","Arizona","Pac-12",0
"Arsalan Kazemi",4,"F","Oregon","Pac-12",0
"Denzel Livingston",3,"G","Incarnate Word","Southland",0
"Shawn Long",4,"F","Louisiana","Sun Belt",0
"Marcus Marshall",4,"G","Nevada","MWC",0
"Kennedy Meeks",4,"F","North Carolina","ACC",0
"Eric Mika",2,"F","Brigham Young","WCC",0
"Ben Moore",4,"F","Southern Methodist","AAC",0
"Jeremy Morgan",3,"G","Northern Iowa","MVC",0
"Marc Eddy Norelia",3,"F","Florida Gulf Coast","A-Sun",0
"Michael Oguine",3,"G","Montana","Big Sky",0
"Gary Payton",3,"G","Oregon State","Pac-12",0
"Josh Perkins",4,"G","Gonzaga","WCC",0
"Myles Powell",3,"G","Seton Hall","Big East",0
"Casey Prather",4,"F","Florida","SEC",0
"Payton Pritchard",3,"G","Oregon","Pac-12",0
"Brian Qvale",4,"C","Montana","Big Sky",0
"Andre Roberson",2,"F","Colorado","Pac-12",0
