?Rk,Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,Drafted
51,Kyle Wiltjer,3,2014-15,F,Gonzaga,WCC,38,1049,30.7,0.638,0.616,6.5,18.4,13.1,14.1,1.1,2.4,7.9,27.6,561,131.6,94.3,5.3,2.2,7.5,8.3,2.4,10.8,0
52,Rui Hachimura,3,2018-19,F,Gonzaga,WCC,37,1117,28.6,0.639,0.608,5.9,16.9,12.1,9.1,1.7,2.4,10.7,28.1,644,124.9,91.6,4.7,2.7,7.4,4.9,2.9,7.8,1
53,Nolan Smith,4,10-Nov,G,Duke,ACC,37,1259,25.7,0.564,0.508,4.1,10.1,7.2,30.3,2,0.2,14.8,30.7,779,116.8,96,5.1,2.3,7.4,7.3,2.3,9.6,0
54,Seth Tuttle,4,2014-15,F,Northern Iowa,MVC,35,1062,30.9,0.675,0.635,6.7,23.1,15.6,28.7,2.2,2.5,20,28.9,543,122.1,90.3,4.8,2.6,7.4,7.8,5.2,13,0
55,Corey Walden,4,2014-15,G,Eastern Kentucky,OVC,32,1108,29.7,0.664,0.617,3.3,12.2,7.7,25.4,5.5,0.6,13.7,25.9,577,126.8,92.9,5,2.4,7.4,7.1,1.3,8.4,0
56,Justin Wright-Foreman,4,2018-19,G,Hofstra,CAA,35,1321,28.9,0.637,0.596,1.2,11.5,6.6,17.4,1.3,0.6,10.9,33,844,123.8,108.7,6.3,1,7.4,7,-3.7,3.2,1
57,De'Andre Hunter,2,2018-19,G,Virginia,ACC,38,1234,24.3,0.618,0.579,5.6,13.4,9.8,13,1.2,2.4,10,24.1,541,125.8,94.9,4.8,2.6,7.3,7.3,3.6,10.9,1
58,Charles Jenkins,4,10-Nov,G,Hofstra,CAA,33,1232,31.4,0.635,0.585,1.8,8.8,5.3,31.5,2.9,1.9,11.1,28.7,706,128,107.8,6.4,0.9,7.3,10,-1.1,8.9,0
59,Cameron Payne,2,2014-15,G,Murray State,OVC,35,1127,30.1,0.573,0.534,2.2,10.6,6.6,40,3.6,1.6,12.4,31.5,716,122.5,99,5.5,1.8,7.3,8.6,0.3,8.9,1
60,Russ Smith,3,2012-13,G,Louisville,Big East,40,1211,25.3,0.541,0.47,4,9.2,6.5,21.1,4.1,0.2,13.5,33.2,700,112.3,89.2,4.4,2.9,7.3,7.1,3,10,1
61,Denzel Valentine,4,2015-16,G,Michigan State,Big Ten,31,1022,29.7,0.608,0.579,3,21.2,12.8,45.8,1.9,0.7,14.8,28.4,622,127.2,94,5,2.2,7.3,12.2,4.4,16.5,1
64,Cody Zeller,2,2012-13,F,Indiana,Big Ten,36,1062,29.8,0.624,0.564,12.3,20.4,16.6,9.5,2.1,4.4,14.5,26.5,567,124.5,89.5,4.8,2.5,7.3,6.1,5.2,11.3,1
65,Grayson Allen,2,2015-16,G,Duke,ACC,36,1317,26.1,0.616,0.554,2,11.7,6.9,19.4,2.1,0.3,10.2,26.8,733,128.5,107.6,5.9,1.2,7.2,9,0.7,9.7,1
66,Will Barton,2,11-Dec,G,Memphis,CUSA,35,1236,26.6,0.587,0.55,7.6,20.2,14.2,17.4,2.4,2.1,12.3,25.8,617,119.3,92.3,4.6,2.6,7.2,6.7,3.6,10.4,1
