fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
3.9,.564,2.2,2.2,.660,1.5,63,7-1,3.0,5.9,-2.83,5.0
0.5,.333,0.2,0.5,.667,0.3,6,6-1,0.2,0.8,0.95,0.3
13.4,.318,4.3,4.6,.657,3.0,74,6-4,2.4,11.5,-7.04,10.0
4.1,.410,1.7,1.2,.737,0.9,110,6-7,2.3,5.2,1.52,2.4
0.7,.529,0.4,0.1,.333,0.0,24,6-0,0.5,1.1,-1.97,0.1
2.3,.520,1.2,0.0,,0.0,11,,0.6,2.4,1.37,0.7
3.2,.460,1.5,2.3,.587,1.4,27,6-6,1.8,4.3,-7.13,2.4
3.7,.431,1.6,4.0,.626,2.5,31,6-0,1.9,5.7,-10.81,2.0
5.1,.380,1.9,2.5,.747,1.8,99,5-8,,6.3,-11.94,1.2
0.6,.333,0.2,0.4,.667,0.3,15,6-9,0.5,0.7,-1.86,0.5
5.2,.461,2.4,2.4,.606,1.5,74,6-9,3.3,6.3,-0.82,4.8
0.1,1.000,0.1,0.0,,0.0,7,6-4,0.7,0.3,-4.42,0.4
1.2,.478,0.6,0.7,.714,0.5,40,6-6,1.2,1.7,2.63,1.6
0.8,.364,0.3,0.8,.400,0.3,13,7-1,0.5,0.9,3.82,1.3
19.2,.519,9.9,8.0,.738,5.9,83,6-9,2.8,25.8,3.77,12.9
0.6,.500,0.3,0.5,.600,0.3,10,6-5,1.0,1.0,-2.72,0.4
1.9,.394,0.7,0.9,.455,0.4,38,6-1,1.1,1.9,3.18,0.6
4.3,.556,2.4,2.3,.437,1.0,126,7-0,2.7,5.8,1.85,4.5
3.1,.313,1.0,1.2,.736,0.9,115,6-0,1.3,3.4,0.39,1.2
0.4,.800,0.3,0.3,.250,0.1,12,6-8,0.8,0.8,-6.14,0.9
,,0.9,,,0.6,14,,,2.3,,
1.9,.392,0.7,1.0,.679,0.7,51,6-5,0.8,2.2,-2.31,1.8
8.2,.589,4.8,4.2,.739,3.1,11,6-1,1.8,13.1,-7.10,1.9
2.8,.539,1.5,1.6,.522,0.8,111,6-8,2.6,3.9,5.49,4.5
4.9,.464,2.3,2.0,.569,1.1,92,6-7,2.2,6.0,9.92,3.4
0.3,.286,0.1,0.2,.250,0.0,24,6-1,0.0,0.2,6.32,0.3
1.4,.300,0.4,0.3,.500,0.1,7,6-1,0.3,1.0,-6.80,0.6
7.6,.527,4.0,4.1,.878,3.6,112,5-10,1.4,13.3,-3.05,1.9
1.7,.000,0.0,0.0,,0.0,3,6-3,0.3,0.0,-1.72,0.7
3.8,.288,1.1,1.5,.761,1.1,31,6-3,1.7,3.3,7.90,2.3
10.8,.473,5.1,3.0,.701,2.1,79,6-10,2.8,13.3,1.53,7.2
0.0,,0.0,0.0,,0.0,4,6-9,0.5,0.0,-5.24,0.0
0.0,,0.0,0.0,,0.0,1,,1.0,0.0,-1.71,1.0
0.7,.429,0.3,0.1,1.000,0.1,10,6-10,1.4,0.7,2.81,1.2
0.3,.400,0.1,0.2,.667,0.1,16,,1.1,0.4,6.59,0.6
1.8,.524,0.9,0.7,1.000,0.7,12,6-8,,2.8,-7.00,1.0
2.2,.464,1.0,1.0,.615,0.6,39,6-10,1.3,2.6,2.64,2.3
0.5,.250,0.1,0.1,.000,0.0,22,6-0,0.2,0.3,-3.32,0.4
5.8,.386,2.2,1.1,.738,0.8,55,6-10,,6.4,-10.31,4.4
0.0,,0.0,0.0,,0.0,3,6-7,0.0,0.0,8.50,0.3
9.7,.396,3.8,1.5,.750,1.1,43,6-2,2.0,8.8,-3.15,5.3
1.6,.348,0.6,0.9,.615,0.6,14,6-5,1.2,1.7,-3.99,0.6
7.4,.400,3.0,2.9,.784,2.3,88,6-3,1.7,9.5,-2.99,5.8
17.5,.440,7.7,8.5,.683,5.8,67,6-0,2.5,23.0,8.12,3.6
14.8,.502,7.5,4.6,.722,3.4,51,6-6,3.9,18.3,1.22,8.0
2.6,.320,0.8,1.6,.618,1.0,68,6-0,2.2,2.6,3.45,2.7
1.4,.431,0.6,0.3,.400,0.1,36,6-2,0.6,1.6,3.96,0.4
5.2,.546,2.8,3.4,.564,1.9,133,6-10,2.2,7.6,7.55,5.7
